time_s,x_m,y_m
0.000000,1.171000e+11,0.000000e+00
86400.000000,1.170639e+11,2.616528e+09
172800.000000,1.169555e+11,5.231440e+09
259200.000000,1.167749e+11,7.843122e+09
345600.000000,1.165220e+11,1.044995e+10
432000.000000,1.161971e+11,1.305032e+10
518400.000000,1.158002e+11,1.564260e+10
604800.000000,1.153313e+11,1.822515e+10
691200.000000,1.147907e+11,2.079637e+10
777600.000000,1.141783e+11,2.335460e+10
864000.000000,1.134946e+11,2.589821e+10
950400.000000,1.127395e+11,2.842555e+10
1036800.000000,1.119133e+11,3.093497e+10
1123200.000000,1.110163e+11,3.342480e+10
1209600.000000,1.100487e+11,3.589338e+10
1296000.000000,1.090108e+11,3.833902e+10
1382400.000000,1.079028e+11,4.076004e+10
1468800.000000,1.067252e+11,4.315474e+10
1555200.000000,1.054783e+11,4.552141e+10
1641600.000000,1.041625e+11,4.785832e+10
1728000.000000,1.027781e+11,5.016374e+10
1814400.000000,1.013256e+11,5.243593e+10
1900800.000000,9.980550e+10,5.467313e+10
1987200.000000,9.821831e+10,5.687357e+10
2073600.000000,9.656454e+10,5.903545e+10
2160000.000000,9.484477e+10,6.115698e+10
2246400.000000,9.305960e+10,6.323634e+10
2332800.000000,9.120969e+10,6.527170e+10
2419200.000000,8.929573e+10,6.726121e+10
2505600.000000,8.731843e+10,6.920302e+10
2592000.000000,8.527857e+10,7.109523e+10
2678400.000000,8.317696e+10,7.293597e+10
2764800.000000,8.101448e+10,7.472332e+10
2851200.000000,7.879203e+10,7.645536e+10
2937600.000000,7.651058e+10,7.813014e+10
3024000.000000,7.417115e+10,7.974571e+10
3110400.000000,7.177483e+10,8.130010e+10
3196800.000000,6.932275e+10,8.279133e+10
3283200.000000,6.681611e+10,8.421739e+10
3369600.000000,6.425618e+10,8.557628e+10
3456000.000000,6.164430e+10,8.686596e+10
3542400.000000,5.898187e+10,8.808442e+10
3628800.000000,5.627039e+10,8.922960e+10
3715200.000000,5.351142e+10,9.029945e+10
3801600.000000,5.070659e+10,9.129193e+10
3888000.000000,4.785765e+10,9.220496e+10
3974400.000000,4.496642e+10,9.303650e+10
4060800.000000,4.203481e+10,9.378447e+10
4147200.000000,3.906483e+10,9.444683e+10
4233600.000000,3.605860e+10,9.502153e+10
4320000.000000,3.301834e+10,9.550653e+10
4406400.000000,2.994639e+10,9.589981e+10
4492800.000000,2.684518e+10,9.619938e+10
4579200.000000,2.371727e+10,9.640326e+10
4665600.000000,2.056536e+10,9.650951e+10
4752000.000000,1.739225e+10,9.651623e+10
4838400.000000,1.420087e+10,9.642154e+10
4924800.000000,1.099431e+10,9.622364e+10
5011200.000000,7.775758e+09,9.592079e+10
5097600.000000,4.548577e+09,9.551128e+10
5184000.000000,1.316252e+09,9.499352e+10
5270400.000000,-1.917582e+09,9.436598e+10
5356800.000000,-5.149144e+09,9.362723e+10
5443200.000000,-8.374505e+09,9.277596e+10
5529600.000000,-1.158959e+10,9.181096e+10
5616000.000000,-1.479016e+10,9.073115e+10
5702400.000000,-1.797186e+10,8.953563e+10
5788800.000000,-2.113016e+10,8.822361e+10
5875200.000000,-2.426040e+10,8.679451e+10
5961600.000000,-2.735779e+10,8.524792e+10
6048000.000000,-3.041738e+10,8.358362e+10
6134400.000000,-3.343414e+10,8.180164e+10
6220800.000000,-3.640287e+10,7.990221e+10
6307200.000000,-3.931830e+10,7.788583e+10
6393600.000000,-4.217506e+10,7.575326e+10
6480000.000000,-4.496768e+10,7.350553e+10
6566400.000000,-4.769066e+10,7.114398e+10
6652800.000000,-5.033841e+10,6.867025e+10
6739200.000000,-5.290534e+10,6.608629e+10
6825600.000000,-5.538586e+10,6.339442e+10
6912000.000000,-5.777437e+10,6.059726e+10
6998400.000000,-6.006534e+10,5.769781e+10
7084800.000000,-6.225329e+10,5.469943e+10
7171200.000000,-6.433285e+10,5.160583e+10
7257600.000000,-6.629877e+10,4.842110e+10
7344000.000000,-6.814598e+10,4.514968e+10
7430400.000000,-6.986958e+10,4.179639e+10
7516800.000000,-7.146491e+10,3.836637e+10
7603200.000000,-7.292755e+10,3.486514e+10
7689600.000000,-7.425338e+10,3.129851e+10
7776000.000000,-7.543861e+10,2.767263e+10
