time_s,x_m,y_m
0.000000,1.470000e+11,0.000000e+00
86400.000000,1.469771e+11,2.617784e+09
172800.000000,1.469083e+11,5.234751e+09
259200.000000,1.467937e+11,7.850085e+09
345600.000000,1.466333e+11,1.046297e+10
432000.000000,1.464271e+11,1.307259e+10
518400.000000,1.461753e+11,1.567814e+10
604800.000000,1.458779e+11,1.827879e+10
691200.000000,1.455350e+11,2.087375e+10
777600.000000,1.451468e+11,2.346219e+10
864000.000000,1.447133e+11,2.604332e+10
950400.000000,1.442346e+11,2.861634e+10
1036800.000000,1.437110e+11,3.118043e+10
1123200.000000,1.431427e+11,3.373481e+10
1209600.000000,1.425297e+11,3.627868e+10
1296000.000000,1.418723e+11,3.881124e+10
1382400.000000,1.411708e+11,4.133172e+10
1468800.000000,1.404253e+11,4.383934e+10
1555200.000000,1.396361e+11,4.633330e+10
1641600.000000,1.388034e+11,4.881285e+10
1728000.000000,1.379276e+11,5.127721e+10
1814400.000000,1.370089e+11,5.372563e+10
1900800.000000,1.360475e+11,5.615734e+10
1987200.000000,1.350439e+11,5.857160e+10
2073600.000000,1.339983e+11,6.096766e+10
2160000.000000,1.329111e+11,6.334478e+10
2246400.000000,1.317827e+11,6.570224e+10
2332800.000000,1.306133e+11,6.803930e+10
2419200.000000,1.294034e+11,7.035526e+10
2505600.000000,1.281534e+11,7.264940e+10
2592000.000000,1.268637e+11,7.492102e+10
2678400.000000,1.255346e+11,7.716942e+10
2764800.000000,1.241667e+11,7.939393e+10
2851200.000000,1.227604e+11,8.159386e+10
2937600.000000,1.213160e+11,8.376854e+10
3024000.000000,1.198341e+11,8.591732e+10
3110400.000000,1.183152e+11,8.803954e+10
3196800.000000,1.167598e+11,9.013456e+10
3283200.000000,1.151683e+11,9.220175e+10
3369600.000000,1.135412e+11,9.424048e+10
3456000.000000,1.118792e+11,9.625014e+10
3542400.000000,1.101826e+11,9.823014e+10
3628800.000000,1.084521e+11,1.001799e+11
3715200.000000,1.066882e+11,1.020987e+11
3801600.000000,1.048914e+11,1.039862e+11
3888000.000000,1.030624e+11,1.058417e+11
3974400.000000,1.012018e+11,1.076646e+11
4060800.000000,9.931000e+10,1.094545e+11
4147200.000000,9.738776e+10,1.112108e+11
4233600.000000,9.543564e+10,1.129330e+11
4320000.000000,9.345426e+10,1.146205e+11
4406400.000000,9.144425e+10,1.162729e+11
4492800.000000,8.940625e+10,1.178898e+11
4579200.000000,8.734089e+10,1.194705e+11
4665600.000000,8.524882e+10,1.210148e+11
4752000.000000,8.313072e+10,1.225220e+11
4838400.000000,8.098723e+10,1.239919e+11
4924800.000000,7.881904e+10,1.254239e+11
5011200.000000,7.662681e+10,1.268177e+11
5097600.000000,7.441125e+10,1.281729e+11
5184000.000000,7.217303e+10,1.294890e+11
5270400.000000,6.991286e+10,1.307658e+11
5356800.000000,6.763144e+10,1.320028e+11
5443200.000000,6.532948e+10,1.331997e+11
5529600.000000,6.300769e+10,1.343562e+11
5616000.000000,6.066680e+10,1.354720e+11
5702400.000000,5.830753e+10,1.365467e+11
5788800.000000,5.593060e+10,1.375800e+11
5875200.000000,5.353675e+10,1.385718e+11
5961600.000000,5.112672e+10,1.395216e+11
6048000.000000,4.870124e+10,1.404294e+11
6134400.000000,4.626107e+10,1.412947e+11
6220800.000000,4.380695e+10,1.421174e+11
6307200.000000,4.133963e+10,1.428974e+11
6393600.000000,3.885987e+10,1.436343e+11
6480000.000000,3.636842e+10,1.443280e+11
6566400.000000,3.386603e+10,1.449783e+11
6652800.000000,3.135348e+10,1.455851e+11
6739200.000000,2.883152e+10,1.461482e+11
6825600.000000,2.630092e+10,1.466675e+11
6912000.000000,2.376243e+10,1.471428e+11
6998400.000000,2.121684e+10,1.475741e+11
7084800.000000,1.866490e+10,1.479613e+11
7171200.000000,1.610739e+10,1.483043e+11
7257600.000000,1.354507e+10,1.486031e+11
7344000.000000,1.097871e+10,1.488575e+11
7430400.000000,8.409073e+09,1.490675e+11
7516800.000000,5.836935e+09,1.492332e+11
7603200.000000,3.263061e+09,1.493544e+11
7689600.000000,6.882172e+08,1.494313e+11
7776000.000000,-1.886831e+09,1.494638e+11
7862400.000000,-4.461320e+09,1.494519e+11
7948800.000000,-7.034486e+09,1.493958e+11
8035200.000000,-9.605569e+09,1.492954e+11
8121600.000000,-1.217381e+10,1.491508e+11
8208000.000000,-1.473845e+10,1.489621e+11
8294400.000000,-1.729874e+10,1.487293e+11
8380800.000000,-1.985391e+10,1.484527e+11
8467200.000000,-2.240324e+10,1.481323e+11
8553600.000000,-2.494596e+10,1.477683e+11
8640000.000000,-2.748134e+10,1.473607e+11
8726400.000000,-3.000863e+10,1.469098e+11
