time_s,x_m,y_m
0.000000,2.070000e+11,0.000000e+00
86400.000000,2.069884e+11,2.289557e+09
172800.000000,2.069537e+11,4.578859e+09
259200.000000,2.068959e+11,6.867649e+09
345600.000000,2.068150e+11,9.155672e+09
432000.000000,2.067110e+11,1.144267e+10
518400.000000,2.065839e+11,1.372839e+10
604800.000000,2.064337e+11,1.601258e+10
691200.000000,2.062605e+11,1.829499e+10
777600.000000,2.060642e+11,2.057535e+10
864000.000000,2.058450e+11,2.285341e+10
950400.000000,2.056028e+11,2.512892e+10
1036800.000000,2.053377e+11,2.740164e+10
1123200.000000,2.050497e+11,2.967129e+10
1209600.000000,2.047388e+11,3.193765e+10
1296000.000000,2.044052e+11,3.420044e+10
1382400.000000,2.040487e+11,3.645943e+10
1468800.000000,2.036696e+11,3.871436e+10
1555200.000000,2.032678e+11,4.096498e+10
1641600.000000,2.028435e+11,4.321106e+10
1728000.000000,2.023966e+11,4.545233e+10
1814400.000000,2.019272e+11,4.768855e+10
1900800.000000,2.014354e+11,4.991949e+10
1987200.000000,2.009213e+11,5.214489e+10
2073600.000000,2.003849e+11,5.436451e+10
2160000.000000,1.998264e+11,5.657811e+10
2246400.000000,1.992457e+11,5.878546e+10
2332800.000000,1.986430e+11,6.098630e+10
2419200.000000,1.980184e+11,6.318041e+10
2505600.000000,1.973719e+11,6.536755e+10
2592000.000000,1.967037e+11,6.754748e+10
2678400.000000,1.960137e+11,6.971997e+10
2764800.000000,1.953023e+11,7.188479e+10
2851200.000000,1.945693e+11,7.404170e+10
2937600.000000,1.938150e+11,7.619049e+10
3024000.000000,1.930394e+11,7.833091e+10
3110400.000000,1.922426e+11,8.046274e+10
3196800.000000,1.914248e+11,8.258577e+10
3283200.000000,1.905861e+11,8.469977e+10
3369600.000000,1.897266e+11,8.680451e+10
3456000.000000,1.888463e+11,8.889978e+10
3542400.000000,1.879455e+11,9.098537e+10
3628800.000000,1.870242e+11,9.306105e+10
3715200.000000,1.860826e+11,9.512661e+10
3801600.000000,1.851207e+11,9.718185e+10
3888000.000000,1.841389e+11,9.922655e+10
