time_s,x_m,y_m
0.000000,4.600000e+10,0.000000e+00
86400.000000,4.576616e+10,5.088957e+09
172800.000000,4.506845e+10,1.012639e+10
259200.000000,4.391818e+10,1.506224e+10
345600.000000,4.233357e+10,1.984930e+10
432000.000000,4.033896e+10,2.444432e+10
518400.000000,3.796372e+10,2.880895e+10
604800.000000,3.524112e+10,3.291031e+10
691200.000000,3.220714e+10,3.672123e+10
777600.000000,2.889931e+10,4.022034e+10
864000.000000,2.535570e+10,4.339178e+10
950400.000000,2.161405e+10,4.622485e+10
1036800.000000,1.771106e+10,4.871351e+10
1123200.000000,1.368188e+10,5.085581e+10
1209600.000000,9.559691e+09,5.265332e+10
1296000.000000,5.375489e+09,5.411055e+10
1382400.000000,1.157958e+09,5.523444e+10
1468800.000000,-3.066573e+09,5.603384e+10
1555200.000000,-7.274094e+09,5.651912e+10
1641600.000000,-1.144284e+10,5.670180e+10
1728000.000000,-1.555316e+10,5.659421e+10
1814400.000000,-1.958740e+10,5.620926e+10
1900800.000000,-2.352975e+10,5.556021e+10
1987200.000000,-2.736608e+10,5.466051e+10
2073600.000000,-3.108379e+10,5.352366e+10
2160000.000000,-3.467170e+10,5.216311e+10
2246400.000000,-3.811987e+10,5.059218e+10
2332800.000000,-4.141952e+10,4.882398e+10
2419200.000000,-4.456285e+10,4.687141e+10
2505600.000000,-4.754300e+10,4.474712e+10
2592000.000000,-5.035393e+10,4.246347e+10
2678400.000000,-5.299029e+10,4.003255e+10
2764800.000000,-5.544743e+10,3.746617e+10
2851200.000000,-5.772126e+10,3.477587e+10
2937600.000000,-5.980820e+10,3.197294e+10
3024000.000000,-6.170516e+10,2.906840e+10
3110400.000000,-6.340946e+10,2.607307e+10
3196800.000000,-6.491881e+10,2.299755e+10
3283200.000000,-6.623125e+10,1.985226e+10
3369600.000000,-6.734515e+10,1.664744e+10
3456000.000000,-6.825918e+10,1.339319e+10
3542400.000000,-6.897225e+10,1.009950e+10
3628800.000000,-6.948355e+10,6.776254e+09
3715200.000000,-6.979251e+10,3.433271e+09
3801600.000000,-6.989878e+10,8.031441e+07
3888000.000000,-6.980223e+10,-3.272876e+09
3974400.000000,-6.950299e+10,-6.616558e+09
4060800.000000,-6.900138e+10,-9.940970e+09
4147200.000000,-6.829796e+10,-1.323630e+10
4233600.000000,-6.739355e+10,-1.649266e+10
4320000.000000,-6.628920e+10,-1.970008e+10
4406400.000000,-6.498624e+10,-2.284846e+10
4492800.000000,-6.348630e+10,-2.592756e+10
4579200.000000,-6.179130e+10,-2.892697e+10
4665600.000000,-5.990352e+10,-3.183610e+10
4752000.000000,-5.782562e+10,-3.464415e+10
4838400.000000,-5.556069e+10,-3.734010e+10
4924800.000000,-5.311225e+10,-3.991268e+10
5011200.000000,-5.048438e+10,-4.235036e+10
5097600.000000,-4.768172e+10,-4.464134e+10
5184000.000000,-4.470956e+10,-4.677354e+10
5270400.000000,-4.157391e+10,-4.873462e+10
5356800.000000,-3.828160e+10,-5.051195e+10
5443200.000000,-3.484037e+10,-5.209264e+10
5529600.000000,-3.125895e+10,-5.346358e+10
5616000.000000,-2.754723e+10,-5.461147e+10
5702400.000000,-2.371633e+10,-5.552285e+10
5788800.000000,-1.977877e+10,-5.618422e+10
5875200.000000,-1.574860e+10,-5.658215e+10
5961600.000000,-1.164155e+10,-5.670334e+10
6048000.000000,-7.475192e+09,-5.653487e+10
6134400.000000,-3.269064e+09,-5.606438e+10
6220800.000000,9.551678e+08,-5.528030e+10
6307200.000000,5.173605e+09,-5.417221e+10
6393600.000000,9.360031e+09,-5.273115e+10
6480000.000000,1.348588e+10,-5.095010e+10
6566400.000000,1.752025e+10,-4.882442e+10
6652800.000000,2.143007e+10,-4.635237e+10
6739200.000000,2.518029e+10,-4.353574e+10
6825600.000000,2.873425e+10,-4.038035e+10
6912000.000000,3.205427e+10,-3.689666e+10
6998400.000000,3.510226e+10,-3.310027e+10
7084800.000000,3.784064e+10,-2.901229e+10
7171200.000000,4.023334e+10,-2.465960e+10
7257600.000000,4.224694e+10,-2.007481e+10
7344000.000000,4.385183e+10,-1.529604e+10
7430400.000000,4.502343e+10,-1.036628e+10
7516800.000000,4.574318e+10,-5.332603e+09
